,Model,Brand,Colour,Style,Fabrication,Price,Picture,Age,size,Product url
56,Club c revenge - vecnav/utigrn/alabas,Reebok,Vecnav/Utigrn/Alabaster,Code FV2132,Leather Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197995/original.jpg,men,"UK 6, UK 8, UK 9, UK 10, UK 12, UK 5, UK 7, UK 11, ",https://superbalist.com/men/shoes/sneakers/club-c-revenge-fv2132-vecnav-utigrn-alabas/740798
57,Club c revenge - white/horblu/vecred,Reebok,white/horblu/vecred,Code FV6386,Leather Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198103/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 11, UK 12, UK 5, UK 10, ",https://superbalist.com/men/shoes/sneakers/club-c-revenge-fv6386-white-horblu-vecred/740786
58,Club c stacked - white/white/rbkg06,Reebok,white/white/rbkg06,Code FV2127,Leather Upper with Rubber Sole,1499,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2197968/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, UK 5, ",https://superbalist.com/men/shoes/sneakers/club-c-stacked-fv2127-white-white-rbkg06/740797
59,Club c 85 - white/white/sorang,Reebok,White/White/Sorang,Code FV6362,Textile Upper with Rubber Sole,1099,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2198074/original.jpg,men,"UK 5, UK 7, UK 8, UK 9, UK 11, UK 12, UK 6, UK 10, ",https://superbalist.com/men/shoes/sneakers/club-c-85-fv6362-white-white-sorang/740801
60,Mirage tech core - puma black-puma white,PUMA,puma black-puma white,Code 381119 02,Mesh & Textile Upper with Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2238597/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/mirage-tech-core-381119-02-puma-black-puma-white/689489
61,C-skate vulc camo - desert sage-puma white,PUMA,desert sage-puma white,Code 368887 01,Canvas Upper with Rubber Sole,999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2238615/original.jpg,men,"UK 6, UK 7, UK 8, UK 12, UK 9, UK 10, UK 11, UK 13, ",https://superbalist.com/men/shoes/sneakers/c-skate-vulc-camo-368887-01-desert-sage-puma-white/689479
62,Suede bloc - puma black-ivory glow,PUMA,puma black-ivory glow,Code 38118302,Suede Upper with Rubber Sole,1699,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2238586/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/suede-bloc-38118302-puma-black-ivory-glow/715629
63,Rs-fast nano - puma black-puma black,PUMA,puma black-puma black,Code 375640 03,Mesh & Nylon Upper with Rubber Sole,1999,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236595/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/rs-fast-nano-375640-03-puma-black-puma-black/689491
64,Rs-connect lazer - vaporous gray-nrgy blue,PUMA Select,vaporous gray-nrgy blue,Code 375152 02,Mesh & Suede Upper with Rubber Sole,2299,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236613/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, ",https://superbalist.com/men/shoes/sneakers/rs-connect-lazer-375152-02-vaporous-gray-nrgy-blue/689583
65,Mirage tech core - peacoat-fiery coral,PUMA,peacoat-fiery coral,Code 381119 03,Mesh & Textile Upper with Rubber Sole,1899,https://assets.superbalistcdn.co.za/500x720/filters:quality(75):format(jpg)/2236649/original.jpg,men,"UK 6, UK 7, UK 8, UK 9, UK 10, UK 11, UK 12, ",https://superbalist.com/men/shoes/sneakers/mirage-tech-core-381119-03-peacoat-fiery-coral/689490
